"","sp","slopeLong","slopeShort","Nbegin","Nmed","Nend","NbeginS","NmedS","NendS","NbeginA","NmedA","NendA","sphen_begin","sphen_med","sphen_end","aphen_begin","aphen_med","aphen_end","Ntotal"
"212","PHOPHO",-25,-2,143.515008061254,108.836363636364,107.095238095238,68.924931153298,65.8272727272727,72.8809523809524,73.5388864317657,42.9090909090909,32.9285714285714,135,128,130,249,249,245,4513
"213","SAXTRA",-70,-63,63.3955478345184,52.6363636363636,19.2142857142857,25.6969834087481,19.5454545454545,9.21428571428571,37.6985644257703,33.0909090909091,10,136,134,132,234,234,233,5146
"214","SAXMAU",NA,-100,0,0.545454545454545,0,0,0.545454545454545,0,0,0,0,NA,NA,NA,NA,NA,NA,6
"215","SAXOLA",100,Inf,0.0714285714285714,0,0.142857142857143,0.0714285714285714,0,0.142857142857143,0,0,0,NA,NA,NA,NA,NA,NA,2
"216","OENOEN",-54,-27,294.340529302139,182.910101010101,133.97619047619,134.389735509588,98.1727272727273,79.9761904761905,118.702777919535,57.5636363636364,45.2857142857143,125,121,117,239,249,253,8680
"217","OENPLE",-100,NA,0.0476190476190476,0,0,0,0,0,0.0476190476190476,0,0,NA,NA,NA,NA,NA,NA,1
"218","TURTOR",162,86,1.22910216718266,1.72727272727273,3.21428571428571,0.845768833849329,1.18181818181818,2.5,0.383333333333333,0.545454545454545,0.714285714285714,NA,NA,NA,NA,NA,NA,63
"219","TURMER",9,0,892.196624002932,965.759812409812,969.390476190476,473.729496604187,485.663636363636,462.690476190476,243.995900831195,284.563636363636,318.47619047619,99,97,94,292,293,294,31512
"220","TUREUN",-100,NA,0.0476190476190476,0,0,0,0,0,0.0476190476190476,0,0,NA,NA,NA,NA,NA,NA,1
"221","TURATR",Inf,57,0,0.0909090909090909,0.142857142857143,0,0,0,0,0.0909090909090909,0.142857142857143,NA,NA,NA,NA,NA,NA,2
"222","TURPIL",28,-35,15060.5155314757,29635.7075036075,19278.6285714286,2632.83468192454,3136.67272727273,2346.78571428571,9888.59157012149,17652.8,14159.0476190476,109,95,105,298,300,297,680843
"223","TURPHI",-28,5,840.530047287594,578.225252525252,609.190476190476,446.628150723545,259.572727272727,252.809523809524,375.672614081825,313.290909090909,329.380952380952,113,109,108,274,273,271,28843
"224","TURILI",-62,-13,6420.0877360127,2825.62828282828,2448.40476190476,5844.29056305322,2302.36363636364,2186.2380952381,540.483864943966,494.481818181818,256.928571428571,110,99,106,286,296,291,159145
"225","TURVIS",106,10,689.637214484002,1292.76338383838,1422.2380952381,121.204821782105,172.4,214.190476190476,566.61682314074,1116.64545454545,1201.92857142857,103,97,95,278,275,281,38000
"226","LOCNAE",16,-3,1.59631483497583,1.90909090909091,1.85714285714286,0.870930295195001,1.27272727272727,1.42857142857143,0.725384539780825,0.636363636363636,0.428571428571429,NA,NA,NA,NA,NA,NA,61
"227","LOCFLU",76,153,0.811236802413273,0.565656565656566,1.42857142857143,0.532175177763413,0.272727272727273,1.42857142857143,0.15406162464986,0,0,NA,NA,NA,NA,NA,NA,28
"228","IDUCAL",Inf,57,0,0.272727272727273,0.428571428571429,0,0.272727272727273,0.428571428571429,0,0,0,NA,NA,NA,NA,NA,NA,6
"229","HIPICT",13,44,162.109461530901,127.362626262626,182.857142857143,46.1964474251239,55.7090909090909,70.4285714285714,64.327299820063,29.0090909090909,52,156,154,154,209,211,212,5321
"230","ACRSCH",-65,-46,29.5821440384521,19.2292929292929,10.3095238095238,9.28428320045967,6.19090909090909,7.45238095238095,19.4411148062464,12.6363636363636,2.85714285714286,148,147,140,234,240,246,2031
"231","ACRAGR",NA,-100,0,0.181818181818182,0,0,0,0,0,0.181818181818182,0,NA,NA,NA,NA,NA,NA,2
"232","ACRDUM",23,160,10.0091530201824,4.71818181818182,12.2857142857143,3.56117126337715,3.78181818181818,9,4.14758493140846,0.181818181818182,1,156,154,148,NA,NA,NA,351
"233","ACRRIS",-34,-11,24.463850897984,18.1272727272727,16.1428571428571,11.3191104646987,8.8,9.57142857142857,4.55386741741231,3.4,0.285714285714286,159,157,155,NA,NA,NA,983
"234","ACRSCI",-52,-42,18.1266499109765,15.089898989899,8.71428571428571,8.51036773683833,9.34545454545455,5.42857142857143,4.37977423763027,2.90909090909091,1.28571428571429,154,153,148,210,233,213,1592
"235","ACRARU",52,5,0.188034188034188,0.272727272727273,0.285714285714286,0.0769230769230769,0.181818181818182,0.285714285714286,0,0,0,NA,NA,NA,NA,NA,NA,7
"236","SYLCAN",Inf,371,0,0.0909090909090909,0.428571428571429,0,0.0909090909090909,0.428571428571429,0,0,0,NA,NA,NA,NA,NA,NA,4
