FIN_name,SWE_name,ENG_name,Sci_name,Species_Abb,Species_code,Sp,Add,Night,Trend,SpB,SpE,AuB,AuE,P,M,Species_Abb_old,Expected,,
aroharmaalokki,kaspisk trut,Caspian Gull,Larus cachinnans,LARCAC,454,1,0,0,2,47,151,182,365,1,1,LARCAC,,,
isolokki,vittrut,Glaucous Gull,Larus hyperboreus,LARHYP,461,1,0,0,2,59,151,182,60,1,1,LARHYP,,,
merilokki,havstrut,Great Black-backed Gull,Larus marinus,LARMAR,463,1,0,0,2,47,151,182,46,1,1,LARMAR,x,L,
kesykyyhky,tamduva,Common Pigeon,Columba livia,COLLIV,470,1,0,0,1,47,151,152,365,0,1,COLLIV,,,
uuttukyyhky,skogsduva,Stock Dove,Columba oenas,COLOEN,471,1,0,0,2,47,151,182,365,0,1,COLOEN,,,
sepelkyyhky,ringduva,Common Wood Pigeon,Columba palumbus,COLPAL,472,1,0,0,2,47,151,182,365,0,1,COLPAL,x,,
turkinkyyhky,turkduva,Eurasian Collared Dove,Streptopelia decaocto,STRDEC,475,1,1,0,2,47,166,182,365,1,1,STRDEC,,,
turturikyyhky,turturduva,European Turtle Dove,Streptopelia turtur,STRTUR,477,1,1,0,2,47,166,182,365,1,1,STRTUR,,,
harakkakäki,skatgök,Great Spotted Cuckoo,Clamator glandarius,CLAGLA,485,1,1,0,2,47,181,182,365,1,1,CLAGLA,,,
käki,gök,Common Cuckoo,Cuculus canorus,CUCCAN,486,1,0,0,2,47,166,182,365,1,1,CUCCAN,,,
huuhkaja,berguv,Eurasian Eagle Owl,Bubo bubo,BUBBUB,493,1,1,0,2,47,166,196,46,1,0,BUBBUB,,,
tunturipöllö,fjälluggla,Snowy Owl,Bubo scandiacus,BUBSCA,494,1,1,0,2,60,166,196,59,1,1,BUBSCA,,,
hiiripöllö,hökuggla,Northern Hawk Owl,Surnia ulula,SURULU,495,1,1,0,2,60,166,196,59,1,1,SURULU,,,
varpuspöllö,sparvuggla,Eurasian Pygmy Owl,Glaucidium passerinum,GLAPAS,496,1,1,0,2,47,166,196,365,1,1,GLAPAS,x,,
lehtopöllö,kattuggla,Tawny Owl,Strix aluco,STRALU,498,1,1,0,2,47,166,196,365,1,1,STRALU,x,,
viirupöllö,slaguggla,Ural Owl,Strix uralensis,STRURA,499,1,1,0,2,47,166,196,365,1,1,STRURA,,,
lapinpöllö,lappuggla,Great Grey Owl,Strix nebulosa,STRNEB,500,1,1,0,2,47,166,196,365,1,1,STRNEB,,,
sarvipöllö,hornuggla,Long-eared Owl,Asio otus,ASIOTU,503,1,1,0,2,60,166,196,59,1,1,ASIOTU,,,
suopöllö,jorduggla,Short-eared Owl,Asio flammeus,ASIFLA,504,1,1,0,2,60,166,196,365,1,1,ASIFLA,,,
helmipöllö,pärluggla,Boreal Owl,Aegolius funereus,AEGFUN,506,1,1,0,2,47,166,196,365,1,1,AEGFUN,x,,
kehrääjä,nattskärra,European Nightjar,Caprimulgus europaeus,CAPEUR,511,1,1,0,2,47,166,182,365,1,1,CAPEUR,x,,
tervapääsky,tornseglare,Common Swift,Apus apus,APUAPU,514,1,0,0,2,47,166,182,365,0,1,APUAPU,x,H,
vaaleakiitäjä,blek tornseglare,Pallid Swift,Apus pallidus,APUPAL,515,1,1,0,2,47,166,182,365,1,1,APUPAL,,,
kuningaskalastaja,kungsfiskare,Common Kingfisher,Alcedo atthis,ALCATT,519,1,1,0,2,47,166,182,365,1,1,ALCATT,,,
mehiläissyöjä,biätare,European Bee-eater,Merops apiaster,MERAPI,520,1,1,0,2,47,166,182,365,1,1,MERAPI,,,
harjalintu,härfågel,Hoopoe,Upupa epops,UPUEPO,524,1,1,0,2,47,166,182,365,1,1,UPUEPO,,,
käenpiika,göktyta,Eurasian Wryneck,Jynx torquilla,JYNTOR,525,1,0,0,2,47,166,196,365,1,1,JYNTOR,,,
harmaapäätikka,gråspett,Grey-headed Woodpecker,Picus canus,PICCAN,526,1,1,0,2,47,151,182,365,1,1,PICCAN,x,,
palokärki,spillkråka,Black Woodpecker,Dryocopus martius,DRYMAR,530,1,0,0,2,60,151,182,365,1,1,DRYMAR,x,,
käpytikka,större hackspett,Great Spotted Woodpecker,Dendrocopos major,DENMAJ,531,1,0,0,2,60,151,182,365,0,1,DENMAJ,x,,
valkoselkätikka,vitryggig hackspett,White-backed Woodpecker,Dendrocopos leucotos,DENLEU,534,1,1,0,2,60,151,182,365,1,1,DENLEU,x,,
pikkutikka,mindre hackspett,Lesser Spotted Woodpecker,Dendrocopos minor,DENMIN,535,1,0,0,2,60,151,182,365,1,1,DENMIN,x,,
pohjantikka,tretåig hackspett,Three-toed Woodpecker,Picoides tridactylus,PICTRI,538,1,1,0,2,60,151,182,365,1,1,PICTRI,x,,
lyhytvarvaskiuru,korttålärka,Greater Short-toed Lark,Calandrella brachydactyla,CALBRA,547,1,0,0,2,47,166,182,365,1,1,CALBRA,,,
kangaskiuru,trädlärka,Woodlark,Lullula arborea,LULARB,552,1,0,0,2,47,151,196,365,0,1,LULARB,x,,
kiuru,sånglärka,Eurasian Skylark,Alauda arvensis,ALAARV,553,1,0,0,2,32,151,196,365,1,1,ALAARV,x,,
tunturikiuru,berglärka,Horned Lark,Eremophila alpestris,EREALP,555,1,1,0,2,60,151,196,365,1,1,EREALP,,,
törmäpääsky,backsvala,Sand Martin,Riparia riparia,RIPRIP,556,1,0,0,2,47,166,182,365,1,1,RIPRIP,x,,
haarapääsky,ladusvala,Barn Swallow,Hirundo rustica,HIRRUS,558,1,0,0,2,47,166,196,365,0,1,HIRRUS,x,,
räystäspääsky,hussvala,Common House Martin,Delichon urbicum,DELURB,561,1,0,0,2,47,166,196,365,0,1,DELURB,x,,
ruostepääsky,rostgumpsvala,Red-rumped Swallow,Cecropis daurica,CECDAU,563,1,1,0,2,47,166,196,365,1,1,CECDAU,,,
isokirvinen,större piplärka,Richard's Pipit,Anthus richardi,ANTRIC,567,1,1,0,2,47,166,196,365,1,1,ANTRIC,,,
nummikirvinen,fältpiplärka,Tawny Pipit,Anthus campestris,ANTCAM,570,1,1,0,2,47,166,196,365,1,1,ANTCAM,,,
taigakirvinen,sibirisk piplärka,Olive-backed Pipit,Anthus hodgsoni,ANTHOD,572,1,1,0,2,47,166,196,365,1,1,ANTHOD,,,
metsäkirvinen,trädpiplärka,Tree Pipit,Anthus trivialis,ANTTRI,573,1,0,0,2,47,151,196,365,0,1,ANTTRI,x,,
niittykirvinen,ängspiplärka,Meadow Pipit,Anthus pratensis,ANTPRA,576,1,0,0,2,60,151,196,365,0,1,ANTPRA,x,,
lapinkirvinen,rödstrupig piplärka,Red-throated Pipit,Anthus cervinus,ANTCER,577,1,0,0,2,47,166,196,365,1,1,ANTCER,x,,
